"year","month","day","day_of_week","airline","flight_number","tail_number","origin_airport","destination_airport","scheduled_departure","departure_time","departure_delay","taxi_out","wheels_off","scheduled_time","elapsed_time","air_time","distance","wheels_on","taxi_in","scheduled_arrival","arrival_time","arrival_delay","diverted","cancelled","cancellation_reason","air_system_delay","security_delay","airline_delay","late_aircraft_delay","weather_delay"
2015,1,13,2,DL,1559,N582NW,LAX,HNL,1445,1436.0,-9.0,19.0,1455.0,352.0,334.0,311.0,2556,1806.0,4.0,1837,1810.0,-27.0,0,0,,,,,,
2015,1,13,2,DL,2191,N983DL,TPA,ATL,1445,1448.0,3.0,13.0,1501.0,95.0,86.0,64.0,406,1605.0,9.0,1620,1614.0,-6.0,0,0,,,,,,
2015,1,13,2,DL,2442,N912DN,DEN,ATL,1445,1443.0,-2.0,9.0,1452.0,172.0,173.0,149.0,1199,1921.0,15.0,1937,1936.0,-1.0,0,0,,,,,,
2015,1,13,2,DL,2446,N543US,FLL,ATL,1445,1450.0,5.0,14.0,1504.0,121.0,108.0,82.0,581,1626.0,12.0,1646,1638.0,-8.0,0,0,,,,,,
2015,1,13,2,DL,1659,N951DL,ATL,DFW,1445,1450.0,5.0,14.0,1504.0,154.0,139.0,118.0,731,1602.0,7.0,1619,1609.0,-10.0,0,0,,,,,,
2015,1,13,2,DL,1786,N819DN,ATL,LGA,1445,1443.0,-2.0,12.0,1455.0,130.0,112.0,94.0,762,1629.0,6.0,1655,1635.0,-20.0,0,0,,,,,,
2015,1,13,2,EV,5496,N847AS,ATL,CHO,1445,1442.0,-3.0,16.0,1458.0,84.0,82.0,63.0,457,1601.0,3.0,1609,1604.0,-5.0,0,0,,,,,,
2015,1,13,2,EV,5498,N851AS,MYR,ATL,1445,1440.0,-5.0,8.0,1448.0,80.0,73.0,57.0,317,1545.0,8.0,1605,1553.0,-12.0,0,0,,,,,,
2015,1,13,2,F9,1090,N952FR,MKE,RSW,1445,1450.0,5.0,22.0,1512.0,175.0,180.0,151.0,1183,1843.0,7.0,1840,1850.0,10.0,0,0,,,,,,
2015,1,13,2,MQ,3649,N521MQ,ORD,DSM,1445,1605.0,80.0,20.0,1625.0,74.0,78.0,46.0,299,1711.0,12.0,1559,1723.0,84.0,0,0,,4.0,0.0,80.0,0.0,0.0
2015,1,13,2,NK,878,N502NK,MCO,LBE,1445,1439.0,-6.0,17.0,1456.0,135.0,122.0,101.0,824,1637.0,4.0,1700,1641.0,-19.0,0,0,,,,,,
2015,1,13,2,OO,6209,N107SY,DCA,ORD,1445,1444.0,-1.0,17.0,1501.0,135.0,118.0,98.0,612,1539.0,3.0,1600,1542.0,-18.0,0,0,,,,,,
2015,1,13,2,OO,2699,N898SK,PHX,FAT,1445,1439.0,-6.0,20.0,1459.0,105.0,113.0,89.0,493,1528.0,4.0,1530,1532.0,2.0,0,0,,,,,,
2015,1,13,2,OO,2700,N885AS,PHX,YUM,1445,1440.0,-5.0,21.0,1501.0,54.0,63.0,39.0,160,1540.0,3.0,1539,1543.0,4.0,0,0,,,,,,
2015,1,13,2,UA,753,N825UA,SFO,LAS,1445,1438.0,-7.0,20.0,1458.0,99.0,100.0,73.0,414,1611.0,7.0,1624,1618.0,-6.0,0,0,,,,,,
2015,1,13,2,UA,1067,N68821,PDX,DEN,1445,1438.0,-7.0,10.0,1448.0,158.0,164.0,139.0,991,1807.0,15.0,1823,1822.0,-1.0,0,0,,,,,,
2015,1,13,2,UA,1637,N37253,CLE,IAH,1446,1450.0,4.0,12.0,1502.0,196.0,183.0,162.0,1091,1644.0,9.0,1702,1653.0,-9.0,0,0,,,,,,
2015,1,13,2,AA,1151,N582AA,DEN,DFW,1446,1438.0,-8.0,11.0,1449.0,119.0,130.0,95.0,641,1724.0,24.0,1745,1748.0,3.0,0,0,,,,,,
2015,1,13,2,AA,1511,N3CCAA,FLL,DFW,1446,1505.0,19.0,22.0,1527.0,204.0,228.0,195.0,1119,1742.0,11.0,1710,1753.0,43.0,0,0,,24.0,0.0,19.0,0.0,0.0
